Gene name	Gene stable ID
Metazoa_SRP	ENSG00000276295
KRTAP9-9	ENSG00000267728
Metazoa_SRP	ENSG00000275531
VN1R84P	ENSG00000280218
LILRP1	ENSG00000273881
KIR2DP1	ENSG00000275815
MTDHP4	ENSG00000280066
	ENSG00000277940
KIR2DL3	ENSG00000278369
KIR2DL3	ENSG00000278327
KRTAP9-2	ENSG00000263090
KRTAP9-4	ENSG00000262512
KIR2DL3	ENSG00000273887
KRTAP9-3	ENSG00000262749
KRTAP9-10P	ENSG00000263103
KIR3DL3	ENSG00000274480
	ENSG00000267635
NCR1	ENSG00000276450
	ENSG00000267208
KRTAP9-2	ENSG00000262573
FCAR	ENSG00000275136
KRTAP9-10P	ENSG00000263115
KRTAP29-1	ENSG00000262218
KRTAP9-4	ENSG00000262896
KIR2DL5B	ENSG00000275436
KRTAP9-6	ENSG00000263263
FCAR	ENSG00000275970
KRTAP9-7	ENSG00000262221
KIR2DL4	ENSG00000274193
U6	ENSG00000274708
KRTAP29-1	ENSG00000262542
KRTAP9-12P	ENSG00000262214
KRTAP9-11P	ENSG00000262946
	ENSG00000275795
KRTAP9-9	ENSG00000262594
KIR2DL5B	ENSG00000275937
KIR2DL5B	ENSG00000274707
LILRP2	ENSG00000277963
KIR2DS2	ENSG00000277885
KIR2DL2	ENSG00000276011
U6	ENSG00000273929
KIR3DL3	ENSG00000274556
KIR3DL3	ENSG00000277552
KIR2DL4	ENSG00000277750
LILRP2	ENSG00000274788
KIR2DS2	ENSG00000275452
KIR2DP1	ENSG00000274912
KIR2DS4	ENSG00000276395
KIR3DL2	ENSG00000278474
KIR2DL1	ENSG00000276310
KIR3DL3	ENSG00000274786
KIR3DL1	ENSG00000274920
KRT20	ENSG00000263057
KIR2DL1	ENSG00000273794
KIR2DL4	ENSG00000275456
NCR1	ENSG00000278025
KRTAP3-1	ENSG00000262068
KIR3DP1	ENSG00000275887
KRTAP3-2	ENSG00000263296
KIR2DL2	ENSG00000275546
KRTAP4-9	ENSG00000262121
KRTAP2-4	ENSG00000263091
	ENSG00000264450
KRT23	ENSG00000263309
KIR2DP1	ENSG00000278339
PIWIL1	ENSG00000275051
KIR3DL1	ENSG00000278079
KIR3DS1	ENSG00000274465
	ENSG00000276808
U6	ENSG00000278190
KIR2DS4	ENSG00000274947
LILRP2	ENSG00000276243
KIR2DS4	ENSG00000276465
SNTG2	ENSG00000281020
	ENSG00000274082
KIR3DL3	ENSG00000277392
U6	ENSG00000275168
FTCD	ENSG00000281775
TPO	ENSG00000277603
	ENSG00000278573
KIR2DS4	ENSG00000276209
	ENSG00000277196
LILRP2	ENSG00000278288
KIR3DL2	ENSG00000278656
KIR2DS1	ENSG00000273517
KIR3DL3	ENSG00000277596
KIR3DP1	ENSG00000274610
	ENSG00000275059
	ENSG00000276324
LILRP1	ENSG00000277240
IMPDH1P5	ENSG00000282534
KIR2DP1	ENSG00000273955
KIR2DS5	ENSG00000274563
FCAR	ENSG00000275269
U6	ENSG00000275021
DLG5	ENSG00000274429
U6	ENSG00000276552
U6	ENSG00000278411
	ENSG00000278833
KRT40	ENSG00000262845
KIR3DL2	ENSG00000275629
KIR2DL4	ENSG00000277850
KIR3DL1	ENSG00000278368
	ENSG00000281753
FTCD-AS1	ENSG00000280541
LSS	ENSG00000281289
	ENSG00000278817
	ENSG00000276017
ADI1	ENSG00000280830
KRTAP1-1	ENSG00000262808
TRAPPC12	ENSG00000274891
	ENSG00000262731
KIR3DL2	ENSG00000276882
KRTAP4-11	ENSG00000263229
	ENSG00000262487
KRTAP2-5P	ENSG00000262376
KRTAP1-3	ENSG00000262347
KRTAP4-16	ENSG00000262520
KRT12	ENSG00000263243
U6	ENSG00000274771
KRTAP1-5	ENSG00000261862
	ENSG00000280770
	ENSG00000281723
KRT39	ENSG00000262164
KRTAP3-4P	ENSG00000262616
KRTAP2-1	ENSG00000261852
KRTAP3-3	ENSG00000263101
KRTAP2-3	ENSG00000262862
KRTAP4-12	ENSG00000263236
KRTAP1-4	ENSG00000263242
KIR3DL3	ENSG00000277028
	ENSG00000266286
KRTAP4-8	ENSG00000261968
	ENSG00000281062
	ENSG00000282480
	ENSG00000282766
MREGP1	ENSG00000282329
KIR3DP1	ENSG00000277560
	ENSG00000281496
	ENSG00000275428
KIR3DL2	ENSG00000275416
ANKRD18DP	ENSG00000281617
SPATC1L	ENSG00000274679
KIR2DS4	ENSG00000275353
U6	ENSG00000273752
KIR2DL5A	ENSG00000278116
	ENSG00000275500
	ENSG00000276938
NCR1	ENSG00000277442
KIR2DS1	ENSG00000276327
	ENSG00000267237
	ENSG00000281577
	ENSG00000267639
U6	ENSG00000274597
	ENSG00000281503
	ENSG00000282391
RNU6-821P	ENSG00000274706
KIR3DL2	ENSG00000278809
U6	ENSG00000278747
KIR2DL1	ENSG00000278495
SINHCAF	ENSG00000276371
	ENSG00000281232
LILRP1	ENSG00000277921
KIR2DL3	ENSG00000277554
KIR2DL4	ENSG00000278074
KIR2DL1	ENSG00000274692
DHX36	ENSG00000281763
KIR2DS3	ENSG00000277657
KIR3DL3	ENSG00000275062
KIR3DL3	ENSG00000275513
	ENSG00000282388
U6	ENSG00000277567
	ENSG00000282551
FLJ13224	ENSG00000282176
NCR1	ENSG00000275637
	ENSG00000282507
	ENSG00000263322
ARHGEF26	ENSG00000277101
DSEL-AS1	ENSG00000282112
DSEL	ENSG00000262102
	ENSG00000277691
	ENSG00000282220
KIR3DL2	ENSG00000277982
KIR2DP1	ENSG00000277375
	ENSG00000273918
AP2A2	ENSG00000280759
	ENSG00000279612
KIR3DP1	ENSG00000275593
KIR2DL1	ENSG00000276625
	ENSG00000282606
KIR2DS4	ENSG00000274957
KIR2DL4	ENSG00000275317
U6	ENSG00000278140
	ENSG00000281949
KIR3DL3	ENSG00000276328
	ENSG00000282330
	ENSG00000281995
KIR2DP1	ENSG00000278614
	ENSG00000281942
GARRE1	ENSG00000279389
KIR2DL4	ENSG00000278430
CTDP1	ENSG00000282752
LSM14A	ENSG00000262860
	ENSG00000282233
DLG5-AS1	ENSG00000282770
	ENSG00000282690
ARHGEF26-AS1	ENSG00000281157
KIR2DS2	ENSG00000274438
RN7SL284P	ENSG00000276516
RNU6-1266P	ENSG00000276274
KIR3DP1	ENSG00000274163
LILRP2	ENSG00000274842
KIR2DS4	ENSG00000276254
KIR2DS4	ENSG00000274406
U6	ENSG00000275671
KIR2DL1	ENSG00000275276
MUC6	ENSG00000277518
PRB1	ENSG00000275517
KIR2DL3	ENSG00000275008
KIR2DS3	ENSG00000275599
LILRP1	ENSG00000273670
KIR2DP1	ENSG00000274476
	ENSG00000262113
	ENSG00000277456
KIR3DS1	ENSG00000274283
KIR2DL4	ENSG00000278606
RNU6-1025P	ENSG00000274980
SBNO2	ENSG00000278788
	ENSG00000274009
KIR2DP1	ENSG00000274942
KIR3DL1	ENSG00000273518
ZNF965P	ENSG00000282352
GXYLT1P1	ENSG00000282037
CYP4F34P	ENSG00000282782
CNN2P12	ENSG00000282611
SNX18P26	ENSG00000282677
LINC00328-2P	ENSG00000282536
ANKRD20A9P	ENSG00000282715
RNU6-55P	ENSG00000278853
U6	ENSG00000252379
Y_RNA	ENSG00000277428
	ENSG00000276256
U6	ENSG00000278063
	ENSG00000263270
KIR3DL3	ENSG00000276084
CRIM1	ENSG00000277354
KIR2DL2	ENSG00000277251
SUDS3P1	ENSG00000281351
	ENSG00000280559
	ENSG00000280647
RPL21P36	ENSG00000278476
PROP1	ENSG00000274382
CRIM1-DT	ENSG00000279215
LILRP1	ENSG00000276307
LILRP2	ENSG00000273883
	ENSG00000281644
	ENSG00000282753
SEPTIN9-DT	ENSG00000282649
KIR2DL1	ENSG00000278821
	ENSG00000278666
SEPTIN9	ENSG00000282302
LILRP2	ENSG00000277271
	ENSG00000275247
	ENSG00000277729
KIR2DS4	ENSG00000275351
KIR2DS1	ENSG00000278304
KIR2DL1	ENSG00000277833
	ENSG00000281254
ABCB10P1	ENSG00000281173
GOLGA8DP	ENSG00000278508
KIR2DL5A	ENSG00000276686
KIR2DL4	ENSG00000278201
KIR3DL1	ENSG00000278427
	ENSG00000280971
APOBEC3B-AS1	ENSG00000262679
	ENSG00000262536
APOBEC3A	ENSG00000262156
KIR3DL2	ENSG00000278361
TUBGCP5	ENSG00000280807
SLC45A2	ENSG00000281919
	ENSG00000274106
KRT18P40	ENSG00000277976
	ENSG00000279974
KRTAP5-6	ENSG00000277389
KIR2DL3	ENSG00000274402
	ENSG00000262453
ZNF430	ENSG00000278780
KRTAP5-1	ENSG00000280585
RXFP3	ENSG00000277069
KRTAP5-4	ENSG00000278620
GOLGA6L1	ENSG00000278247
KIR3DP1	ENSG00000275255
ADAMTS12	ENSG00000281690
LILRP2	ENSG00000273528
KIR3DL2	ENSG00000275262
U6	ENSG00000277091
KRTAP5-5	ENSG00000278302
	ENSG00000278633
	ENSG00000278066
KIR3DL1	ENSG00000275486
	ENSG00000274449
FAM99A	ENSG00000281261
	ENSG00000279318
KRTAP5-2	ENSG00000278489
	ENSG00000281737
LINC02708	ENSG00000281633
DECR2	ENSG00000274296
ELMO2P1	ENSG00000281725
KRTAP5-AS1	ENSG00000281176
LINC02708	ENSG00000281240
ZNF85	ENSG00000278091
FAM99B	ENSG00000281783
	ENSG00000281111
DUSP8	ENSG00000278165
FAM99A	ENSG00000281733
	ENSG00000281754
	ENSG00000280490
KRTAP5-3	ENSG00000275920
Metazoa_SRP	ENSG00000277046
KRTAP5-4	ENSG00000277068
ELMO2P1	ENSG00000280500
FAM99B	ENSG00000281829
	ENSG00000281149
GOLGA8DP	ENSG00000278070
IFITM10	ENSG00000281618
LINC01659	ENSG00000280986
KRTAP5-1	ENSG00000278210
ZDHHC8P1	ENSG00000281076
KRTAP5-3	ENSG00000281191
LINC02549	ENSG00000280737
	ENSG00000281645
KRTAP5-2	ENSG00000281533
KRTAP5-5	ENSG00000277291
U6	ENSG00000278230
ABCB11	ENSG00000276582
	ENSG00000275321
	ENSG00000280679
BNIP3P24	ENSG00000280428
KRTAP5-AS1	ENSG00000281801
	ENSG00000280030
CES5AP1	ENSG00000280839
	ENSG00000280784
ZNF66	ENSG00000275050
GNG5P1	ENSG00000280557
CYFIP1	ENSG00000280618
	ENSG00000280765
KIR3DL1	ENSG00000277175
G6PC2	ENSG00000278373
	ENSG00000280898
RNU6-222P	ENSG00000277153
DUSP8	ENSG00000273793
	ENSG00000281374
KIR3DL2	ENSG00000275083
FAM230I	ENSG00000274657
LINC02557	ENSG00000281077
AADACL2	ENSG00000261846
SPC25	ENSG00000277909
KCNQ2-AS1	ENSG00000281651
LINC02066	ENSG00000262411
KIR2DS2	ENSG00000275253
	ENSG00000276565
AADACL2-AS1	ENSG00000262466
KIR3DL2	ENSG00000275626
KCNQ2	ENSG00000281151
GART	ENSG00000262473
PTCHD3	ENSG00000276595
	ENSG00000282201
SLC25A51P1	ENSG00000281567
ADH5P4	ENSG00000277364
RAB11FIP3	ENSG00000275338
NOSTRIN	ENSG00000275326
	ENSG00000275336
ODAD2P1	ENSG00000276777
FAM210CP	ENSG00000273681
	ENSG00000281012
TRIAP1P1	ENSG00000278364
U6	ENSG00000273501
GOLGA6L1	ENSG00000275009
U6	ENSG00000278036
	ENSG00000281703
	ENSG00000278019
	ENSG00000280619
	ENSG00000281380
SMN2	ENSG00000273772
ABCB10P1	ENSG00000280461
RPS5P3	ENSG00000262148
DNAJC28	ENSG00000262911
	ENSG00000281513
	ENSG00000281081
TUBGCP5	ENSG00000276856
	ENSG00000281464
	ENSG00000281048
	ENSG00000262892
IFNGR2	ENSG00000262795
	ENSG00000275495
SKA1	ENSG00000262634
KIR2DL4	ENSG00000278271
	ENSG00000282429
OR2AS2P	ENSG00000280815
OR2T6	ENSG00000278659
PAXBP1	ENSG00000263141
	ENSG00000282378
LINC00235	ENSG00000282485
OR2T2	ENSG00000275754
CAPN15	ENSG00000282214
MAPK4	ENSG00000282110
Y_RNA	ENSG00000274018
OR2T4	ENSG00000275617
	ENSG00000282085
KCNIP4	ENSG00000281758
	ENSG00000282443
KIR2DS5	ENSG00000275047
RNA5SP458	ENSG00000262132
C21orf62	ENSG00000262938
	ENSG00000281559
OR2T7	ENSG00000281489
KIR3DL2	ENSG00000275511
	ENSG00000280838
SUDS3P1	ENSG00000274681
OR2T1	ENSG00000273508
PROP1	ENSG00000280635
	ENSG00000281470
C21orf62-AS1	ENSG00000263140
OR2T3	ENSG00000277113
	ENSG00000282464
KIR3DL3	ENSG00000274763
LRRC56	ENSG00000273831
SNTG2	ENSG00000281486
OR2T5	ENSG00000275102
TMEM50B	ENSG00000263160
	ENSG00000280072
	ENSG00000281658
	ENSG00000281914
	ENSG00000281425
DLGAP2	ENSG00000282103
CDH12P2	ENSG00000280638
PMCHL2	ENSG00000280840
LILRP2	ENSG00000276512
	ENSG00000282347
	ENSG00000282245
	ENSG00000278562
ERICH1	ENSG00000282665
KIR3DL3	ENSG00000274254
GTF2H2	ENSG00000276910
PHRF1	ENSG00000274780
KIR2DL3	ENSG00000275623
FRG1-DT	ENSG00000280716
U6	ENSG00000277642
LINC01596	ENSG00000281830
	ENSG00000281916
RNU1-51P	ENSG00000276052
	ENSG00000277400
MAFIP	ENSG00000274847
	ENSG00000274971
KIR3DL3	ENSG00000276086
	ENSG00000263314
KIR2DS4	ENSG00000275731
U1	ENSG00000277374
GOLGA6L22	ENSG00000274404
SNTB2	ENSG00000260873
RPS6P22	ENSG00000262159
	ENSG00000282734
	ENSG00000281997
LRIG3-DT	ENSG00000262592
	ENSG00000282141
	ENSG00000262036
DLGAP2-AS1	ENSG00000282001
DLGAP2	ENSG00000282152
	ENSG00000281537
U1	ENSG00000275987
GOLGA8EP	ENSG00000278429
	ENSG00000280476
	ENSG00000268674
UTP4	ENSG00000262788
	ENSG00000277475
Metazoa_SRP	ENSG00000274040
U1	ENSG00000275405
	ENSG00000281953
KIR2DS1	ENSG00000273603
	ENSG00000281999
KIR2DL5A	ENSG00000275596
	ENSG00000276374
HERC2P2	ENSG00000280787
	ENSG00000278688
	ENSG00000282044
LILRP2	ENSG00000273922
CNTNAP2	ENSG00000278728
KIR3DS1	ENSG00000275608
MAD2L1-DT	ENSG00000281122
HERC2P7	ENSG00000281828
SPATA31E3P	ENSG00000281846
	ENSG00000281422
GOLGA8IP	ENSG00000281356
	ENSG00000273748
	ENSG00000280700
Metazoa_SRP	ENSG00000276062
Metazoa_SRP	ENSG00000276377
U3	ENSG00000277205
Metazoa_SRP	ENSG00000274906
Y_RNA	ENSG00000262354
U6	ENSG00000262579
OR8U9	ENSG00000281038
OR8J2	ENSG00000263150
FAM8A2P	ENSG00000281773
	ENSG00000281819
OR8U8	ENSG00000262315
	ENSG00000280750
OR8L1P	ENSG00000280577
NDUFA6-DT	ENSG00000280613
OR5T3	ENSG00000261897
OR5T2	ENSG00000262851
OR8K2P	ENSG00000280617
OR8I1P	ENSG00000280712
OR8K3	ENSG00000262755
OR8H1	ENSG00000262611
RPL4P5	ENSG00000263127
ICE2P1	ENSG00000281800
	ENSG00000282377
	ENSG00000280821
LINC01060	ENSG00000281580
OR5T1	ENSG00000262784
SMDT1	ENSG00000272835
RPL5P29	ENSG00000281820
OR8K1	ENSG00000263328
KIR2DL4	ENSG00000273498
OR8J1	ENSG00000262796
RPS17	ENSG00000278229
	ENSG00000281019
NKD2	ENSG00000276920
	ENSG00000281482
OLA1P1	ENSG00000273194
NDUFA6	ENSG00000273397
CYP2D8P	ENSG00000273785
CYP2D6	ENSG00000272532
SDHAP2	ENSG00000281687
GOLGA8F	ENSG00000276896
MUC20-OT1	ENSG00000281603
LINC01194	ENSG00000273954
CYP2D7	ENSG00000278088
MUC20-OT1	ENSG00000281060
LMNTD2	ENSG00000275873
GOLGA6L10	ENSG00000274166
MEGF11	ENSG00000277848
DNM1P38	ENSG00000282596
SLC12A7	ENSG00000276482
ABR	ENSG00000276016
HERC2P11	ENSG00000282090
TNFRSF14	ENSG00000273936
CPEB1	ENSG00000277445
	ENSG00000276143
	ENSG00000275855
	ENSG00000282126
GOLGA8G	ENSG00000273651
MIR210HG	ENSG00000282810
	ENSG00000281417
	ENSG00000272000
RNH1	ENSG00000276230
	ENSG00000278277
	ENSG00000276994
KIR2DL2	ENSG00000278692
KIR2DS2	ENSG00000275735
LILRP1	ENSG00000273546
U6	ENSG00000275782
	ENSG00000281521
DIS3L-AS1	ENSG00000277844
	ENSG00000282280
	ENSG00000280983
SERF1B	ENSG00000277429
	ENSG00000261905
CLK2	ENSG00000261893
	ENSG00000285263
	ENSG00000273635
	ENSG00000282531
NAIP	ENSG00000276068
	ENSG00000276455
	ENSG00000281946
ABCB10P4	ENSG00000274192
	ENSG00000273969
	ENSG00000282058
	ENSG00000276485
NDUFA6	ENSG00000272765
	ENSG00000276005
	ENSG00000282516
	ENSG00000282731
	ENSG00000282587
HERC2	ENSG00000277278
OLA1P1	ENSG00000278846
TCF20	ENSG00000262024
	ENSG00000274801
	ENSG00000280556
LILRA4	ENSG00000276798
	ENSG00000282581
Metazoa_SRP	ENSG00000276767
	ENSG00000280880
	ENSG00000274700
Metazoa_SRP	ENSG00000274122
	ENSG00000281542
NDUFA6	ENSG00000277365
	ENSG00000280865
SDHAP2	ENSG00000280521
TTC34	ENSG00000275571
MUC20	ENSG00000275430
MUC20	ENSG00000277753
KIR2DS1	ENSG00000275306
SMDT1	ENSG00000272901
KIR3DL2	ENSG00000278403
	ENSG00000281274
SMDT1	ENSG00000274112
	ENSG00000281740
MMEL1	ENSG00000277131
LAIR1	ENSG00000276163
NDUFA6-DT	ENSG00000273616
	ENSG00000281901
	ENSG00000280482
MUC20-OT1	ENSG00000281915
	ENSG00000281821
SDHAP2	ENSG00000280909
PKLR	ENSG00000262785
OLA1P1	ENSG00000272813
CYP2D6	ENSG00000275211
	ENSG00000262303
	ENSG00000280629
MUC4	ENSG00000276613
	ENSG00000281798
CYP2D7	ENSG00000263181
MUC4	ENSG00000278303
DRD4	ENSG00000276825
DEAF1	ENSG00000282712
MUC20-OT1	ENSG00000280993
MCCC2	ENSG00000281742
IRF7	ENSG00000276561
MTX1P1	ENSG00000263037
	ENSG00000262734
SCAMP3	ENSG00000263290
CYP2D8P	ENSG00000262055
KIR2DL3	ENSG00000275658
CSPG4P10	ENSG00000282457
PSMB1	ENSG00000281184
	ENSG00000280722
	ENSG00000281761
	ENSG00000282814
TIMM22	ENSG00000278501
FAM120B	ENSG00000275333
KIR2DS2	ENSG00000275737
GOLGA6L9	ENSG00000274320
	ENSG00000280518
KIR2DL5B	ENSG00000278481
NXN	ENSG00000281300
KIR2DS1	ENSG00000276387
Metazoa_SRP	ENSG00000275991
KIR2DS3	ENSG00000277163
	ENSG00000278086
BDP1	ENSG00000274803
KIR2DL4	ENSG00000277540
GOLGA6L17P	ENSG00000282209
	ENSG00000282755
	ENSG00000282514
	ENSG00000263231
GOLGA2P10	ENSG00000282183
GBA	ENSG00000262446
	ENSG00000280621
	ENSG00000280609
	ENSG00000281225
MMEL1-AS1	ENSG00000280645
HRAS	ENSG00000276536
PANK4	ENSG00000273494
GOLGA6L10	ENSG00000274042
TCF20	ENSG00000276461
	ENSG00000282113
LINC00824	ENSG00000282114
UBE2Q2P6	ENSG00000276228
KIR2DP1	ENSG00000273753
	ENSG00000273673
DLL1	ENSG00000275555
ADAMTS7P1	ENSG00000281976
KIR3DL2	ENSG00000275838
LINC01624	ENSG00000280592
	ENSG00000280883
NDUFA6-DT	ENSG00000280811
UBE2Q2P2	ENSG00000282084
LMNTD2-AS1	ENSG00000282005
KIR3DS1	ENSG00000275037
RASSF7	ENSG00000273859
	ENSG00000275049
MUC4	ENSG00000273984
MUC4	ENSG00000273822
KIR2DL4	ENSG00000276979
PLCH2	ENSG00000276429
CDHR5	ENSG00000273572
KIR3DL3	ENSG00000276572
SMN1	ENSG00000275349
HCN3	ENSG00000263324
	ENSG00000281612
	ENSG00000280626
	ENSG00000280578
	ENSG00000280504
